news_content,news_source,news_time,news_title
" （上接第一版）确保扶贫工作务实、脱贫过程扎实、脱贫结果真实。要及时纠正脱贫攻坚中反映的干部作风问题，深化扶贫领域腐败和作风问题专项治理，完善和落实抓党建促脱贫制度机制，加强贫困地区农村基层党组织建设，加强对一线扶贫干部关爱和保障。习近平最后... ...

								",,2019.03.08,脱贫攻坚是一场必须打赢打好的硬仗
" ——河北省代表团媒体开放日答记者问 
 （上接第一版）为我们做好工作指明了前进方向，提供了根本遵循，为河北改革发展稳定工作提供了强大的政治引领和精神动力。  
 王东峰代表说，习近平总书记指出，“我对燕赵大地充满深情。不只因为我在这块土地上... ...

								",,2019.03.08,牢记嘱托拼搏竞进 奋力书写新时代全面建设经济强省美丽河北新篇章
" 本报记者 张静雯  
 
 张翼翡是一个阳光自信、乐观向上、热爱祖国、品学兼优的优秀小学生。老师的言传身教，父母的悉心熏陶，在她的心灵中种下了一粒粒健康向上的种子，使她一天天茁壮成长，全面发展，每学年都被评为“三好学生”。 
 张翼翡在校尊... ...

								",,2019.02.23,“阳光女孩”质朴纯真品学兼优---——记高邑县西南关学校“三好学生”张翼翡
" 新华社北京2月22日电 （记者 胡浩）针对网传“教育部规定将游泳正式纳入中考考核项目”，教育部22日回应表示并不属实。 
 2016年，国务院办公厅出台《关于强化学校体育促进学生身心健康全面发展的意见》，要求中小学要把学生参加体育活动情况、... ...

								",,2019.02.23,教育部：未统一要求将游泳纳入中考
" 新华社北京2月23日电 近日，中共中央、国务院印发了《中国教育现代化2035》，并发出通知，要求各地区各部门结合实际认真贯彻落实。 
 《中国教育现代化2035》分为五个部分：一、战略背景；二、总体思路；三、战略任务；四、实施路径；五、保障... ...

								",,2019.02.24,中共中央、国务院印发 《中国教育现代化2035》
news_content,news_source,news_time,news_title
" 本报讯 （记者 张静雯）3月7日，全市“扫黄打非”工作会议召开，贯彻落实国家、省两级“扫黄打非”工作电视电话会议和全市宣传部长会议精神，对2019年“扫黄打非”工作进行安排部署。市委常委、宣传部长，市“扫黄打非”领导小组组长王韶华出席会议并... ...

								",,2019.03.08,全市“扫黄打非”工作会议召开
" 本报记者 戴丽丽 
 
 春雷响，万物长，惊蛰前后，正定县平安村青益农业园区1200多亩的土地上生机勃勃。近期，十几个品种的海棠花、榆叶梅即将破蕾绽放，正值销售好时节，园区负责人张瑞方的心情比花还急，一大早到园区里跟着工人们给树木涂白抹红“... ...

								",,2019.03.07,广搭平台共筑梦想---——我市妇联组织服务省会发展纪实
" 光明“守护者” 
 一口故障电缆井前，市城市照明管理处桥西维护所的王会杰正趴在地上，使劲将胳膊伸到井内。这口井太深，井口又小，他只能这样抢修。 
 等他排除完故障，双手已被划破了许多血口。他却毫不在意，忙着赶去下一个抢修点。为了尽快恢复亮灯... ...

								",,2019.03.07,光明“守护者”
" 本报记者 岳金宏 
 通讯员 纵兆磊 刘 欣  
 
 三月微风拂面，初春的气息悄然来临，春暖花开,被严寒堵在屋子里一冬天的心开始蠢蠢欲动,正是踏春好时节。近日，栾城区第十七届草莓采摘节正式启幕，不少市民来到栾城各个采摘园区，踏春寻“莓”，... ...

								",,2019.03.07,无土栽培草莓红又甜---——栾城采摘经济走向生态高端
" ...纯锴、宋学恭，秘书长赵磊出席会议。 
 会议传达学习了全国“两会”精神，审议通过了政协",,2019.03.21,市政协召开十三届 二十三次主席会议---决定3月29日召开市政协十三届十二次常委会议
" （上接第一版） 
 
 家庭“选美” 内外兼修 
 
 相亲相爱的郭俊伏、张贵平家庭，自立自强的王兰乔、刘聚群家庭，教子有方的王丽、高会青家庭，热心公益的李娇娇、李文纲家庭，孝老敬亲的杜喜珍、卢志芳家庭，文化传承的栾瑞花、马建利家庭……一个... ...

								",,2019.03.07,广搭平台共筑梦想---——我市妇联组织服务省会发展纪实
" 本报讯 （首席记者 靳晓磊）3月6日，由生态环境部副部长赵英民带队的督查组，对我市开展了大气污染防治强化监督检查。当天上午，市政府召开汇报会，就督查工作进行对接，并汇报我市大气污染防治工作。 
 会上，赵英民向我市反馈了前期督查中发现的问题... ...

								",,2019.03.07,生态环境部对我市进行大气污染防治强化督查
" 本报讯 （首席记者 范玉蕾）从石药集团传来喜讯，该集团已于3月5日发布公告称，成功用于治疗高血压的马来酸左旋氨氯地平片向美国FDA提交新药上市申请。据悉，此为中国医药企业首次向美国FDA提交新药上市申请。 
 石药集团马来酸左旋氨氯地平片（... ...

								",,2019.03.07,石药向美国提交新药上市申请---系中国药企首次
" 3月6日，栾城区天亮合作社的种植户正在为麦田浇水。目前正值春耕时节，栾城区天亮合作社的种植户抓住大好时机，积极开展施肥、浇水等小麦管理，确保今年小麦实现丰收。 本报首席记者 张震 通讯员 李明发 摄 ...

								",,2019.03.07,春耕农正忙
" 本报讯 （首席记者 靳晓磊）今年，我市将通过提档升级精品街道、提升改造水系景观、持续完善公园体系等，实现城区新建提升绿地800万平方米、新增乔木100万株的目标。这是3月6日记者从我市2019园林绿化工作会上了解到的。 
 在今年城区园林绿... ...

								",,2019.03.07,今年城区将新建提升绿地800万平方米
" （上接第一版）确保扶贫工作务实、脱贫过程扎实、脱贫结果真实。要及时纠正脱贫攻坚中反映的干部作风问题，深化扶贫领域腐败和作风问题专项治理，完善和落实抓党建促脱贫制度机制，加强贫困地区农村基层党组织建设，加强对一线扶贫干部关爱和保障。习近平最后... ...

								",,2019.03.08,脱贫攻坚是一场必须打赢打好的硬仗
" ——河北省代表团媒体开放日答记者问 
 （上接第一版）为我们做好工作指明了前进方向，提供了根本遵循，为河北改革发展稳定工作提供了强大的政治引领和精神动力。  
 王东峰代表说，习近平总书记指出，“我对燕赵大地充满深情。不只因为我在这块土地上... ...

								",,2019.03.08,牢记嘱托拼搏竞进 奋力书写新时代全面建设经济强省美丽河北新篇章
" 本报记者 张静雯  
 
 张翼翡是一个阳光自信、乐观向上、热爱祖国、品学兼优的优秀小学生。老师的言传身教，父母的悉心熏陶，在她的心灵中种下了一粒粒健康向上的种子，使她一天天茁壮成长，全面发展，每学年都被评为“三好学生”。 
 张翼翡在校尊... ...

								",,2019.02.23,“阳光女孩”质朴纯真品学兼优---——记高邑县西南关学校“三好学生”张翼翡
" 新华社北京2月22日电 （记者 胡浩）针对网传“教育部规定将游泳正式纳入中考考核项目”，教育部22日回应表示并不属实。 
 2016年，国务院办公厅出台《关于强化学校体育促进学生身心健康全面发展的意见》，要求中小学要把学生参加体育活动情况、... ...

								",,2019.02.23,教育部：未统一要求将游泳纳入中考
" 新华社北京2月23日电 近日，中共中央、国务院印发了《中国教育现代化2035》，并发出通知，要求各地区各部门结合实际认真贯彻落实。 
 《中国教育现代化2035》分为五个部分：一、战略背景；二、总体思路；三、战略任务；四、实施路径；五、保障... ...

								",,2019.02.24,中共中央、国务院印发 《中国教育现代化2035》
" 22日，国家统计局公布的“2019年1月份70个大中城市商品住宅销售价格变动情况”显示，在“因地制宜、因城施策”的调控原则指导下，1月份各线城市商品住宅销售价格总体平稳，其中环比房价基本保持稳定，同比房价涨幅则有所扩大。在“房住不炒”的主基... ...

								",,2019.02.23,1月70个大中城市房价趋稳---楼市调控凸显“一城一策”
" 新华社北京2月22日电 记者22日从国家发展改革委了解到，我国将培育发展现代化都市圈。放开放宽除个别超大城市外的城市落户限制，在具备条件的都市圈率先实现户籍准入年限同城化累积互认，加快消除城乡区域间户籍壁垒，统筹推进本地人口和外来人口市民化... ...

								",,2019.02.23,放开放宽除个别超大城市外的城市落户限制
" 2月22日，中国商飞向天骄航空交付的首架ARJ21飞机在上海大场机场起飞。 
 当日，一架白色素雅涂装的ARJ21飞机从上海起飞，前往内蒙古呼和浩特白塔国际机场，这是中国商飞向天骄航空交付的首架ARJ21飞机。本次交付标志着国产喷气客机开启... ...

								",,2019.02.23,天骄航空接收首架ARJ21飞机
" （上接第一版） 
 会议强调，今年是新中国成立70周年，是全面建成小康社会、实现第一个百年奋斗目标的关键之年。面对新形势新任务新挑战，做好政府工作，要在以习近平同志为核心的党中央坚强领导下，以习近平新时代中国特色社会主义思想为指导，全面贯彻... ...

								",,2019.02.23,中共中央政治局召开会议
" 新华社北京2月22日电 （王锦萱 于佳欣）记者22日从国务院政策例行吹风会上获悉，我国将出台《报废机动车回收管理办法》，允许将符合条件的报废机动车“五大总成”再制造、再利用，这将对新车消费和二手车消费起到促进作用。 
 随着我国汽车产销量增... ...

								",,2019.02.23,我国将出台报废机动车回收新政
" ...直飞航线，拉近河北包括我市与丝绸之路城市紧密联系。 
 自3月7日开始，春秋航空将开通",,2019.02.27,春秋航空加速布局“一带一路”---3月新增
 ,,2019.03.01,市中级人民法院工作报告---——2019年1月22日在
" 新华社北京2月28日电 近日，中共中央印发了《中国共产党重大事项请示报告条例》（以下简称《条例》），并发出通知，要求各地区各部门认真遵照执行。 
 通知指出，请示报告制度是我们党的一项重要政治纪律、组织纪律、工作纪律，是执行民主集中制的有效... ...

								",,2019.03.01,中共中央印发《中国共产党重大事项请示报告条例》
" （上接第一版）河长信息公示牌注明河道信息、河长信息，明确河长职责，公布举报监督电话。河长信息公示牌的设立，进一步明确了河道管理主体，给每一条河道一张“身份证”。截至目前，234块公示牌全部安装到位。 
 同时，在河长制工作开展过程中，鹿泉区... ...

								",,2019.03.23,昔日脏乱河道 今朝柳绿桃红
" 本报讯 （记者 周剑瑭） 近日，由敬业集团投资建设的王母山迎来了盛大的传统文化庙会。 
 王母山在平山县王坡乡，每年春秋的传统庙会，来自山东、山西及周边几十个县（市、区）的游人数万，求子求福，祈福吉祥安康，登山踏青游览王母山的秀美山水，观赏... ...

								",,2019.03.25,王母山传统文化庙会举办
" 本报讯 （记者 祁鹏娜） 由赵宝刚编剧并执导，郑爽、盖玥希、徐悦、陈小纭、王秀竹领衔主演的现实主义电视剧《青春斗》于3月24日开始在东方卫视、北京卫视开播。 
 考研还是就业？创业还是择业？回家乡还是留在大城市？选择衣食无忧的安稳还是极富挑... ...

								",,2019.03.25,电视剧《青春斗》聚焦问题青年
" 3月22日无人机拍摄的江苏盐城响水化工厂爆炸事故现场。 （新华社发）  
 
 江苏响水天嘉宜公司“3.21”爆炸事故截至目前已造成47人死亡，90人重伤，还有部分群众受轻伤。3处着火的储罐和5处着火点已全部扑灭。医护人员已为超过130名伤... ...

								",,2019.03.23,紧急驰援！全力救治！不落一人！---——江苏响水天嘉宜公司“3·21”爆炸事故救援现场直击
" 3月23日是“世界气象日”，省会小学生走入河北省气象局，参观气象影视节目制作、移动气象科普设备、气象仪器装备等，零距离感受气象科普的魅力。 
 
 本报首席记者 张震 摄 ...

								",,2019.03.24,气象科普零距离
" （上接第一版）文化建设、社会建设统筹推进，开展了一系列根本性、长远性、开创性工作，提出了一系列新理念新思想新战略，推动生态环境保护发生了历史性、转折性、全局性变化。省委、省政府以前所未有的决心和力度推进生态文明建设，在治理污染、修复生态中加... ...

								",,2019.03.24,市委市政府印发《关于全面加强生态环境保护坚决打好污染防治攻坚战的实施意见》
" 2月27日，在越南首都河内，朝鲜最高领导人金正恩（右）与美国总统特朗普会面。 
 朝鲜最高领导人金正恩与美国总统特朗普27日傍晚在越南首都河内会面，拉开朝美领导人第二次会晤序幕。 
 （新华社发） ...

								",,2019.02.28,朝美领导人开始河内会晤
" 新华社北京2月27日电 （记者 刘欢 赵博 石龙洪）国务院台湾事务办公室27日在北京举行例行新闻发布会。发言人安峰山应询表示，“一国两制”体现我们对广大台湾同胞最大的善意和关爱，必然会给台湾同胞带来更大的发展机遇、更好的生活条件。 
 新华... ...

								",,2019.02.28,“一国两制”会给台胞带来更大发展机遇---国台办27日在北京举行例行新闻发布会
" 我市召开扶持壮大村级集体经济工作会议 
 （上接第一版）实行区域化布局、整体性开发、规模化增收。要积极有序组织实施，县、乡两级要结合扶持村实际，因地制宜，分类实施，确保尽快取得阶段性成效。要科学精准总结评估，及时总结扶持村先进经验，积极普及... ...

								",,2019.03.09,我市召开扶持壮大村级集体经济工作会议
" ...
 
  中国外交 
 中国外交开拓进取，攻坚克难，中国日益走近世界舞台的中央 
 《人民",,2019.03.09,党的领导是中国外交最根本的政治保障
" 右图：2013年，梁书台第二次修复金缕玉衣。 资料片 
 
 左图：1988年，年轻的梁书台（左）正在修复长信宫灯。 资料片 
 
 梁书台正在整理资料。他说每一次文物修复工作都是与历史、文明“交心”的过程，应该认真、细致地记录下来。  
... ...

								",,2019.02.28,梁书台：留住珍贵的历史光华
" 3月19日，智能巡防机器人“梅宝”吸引梅园社区的孩子们围观。近日，一台名叫“梅宝”的智能巡防机器人在北京市丰台区东高地街道梅园社区落户，开始执行社区巡逻任务。这台被居民称为“机器人探长”的智能机器人由北京航天自动控制研究所研制，可在社区内进... ...

								",,2019.03.20,“机器人探长”落户社区
" 3月19日，省会58路车队的公交志愿者举行“以实际行动助力创建卫生城市”志愿活动。志愿者以整理人行道自行车、清理卫生死角、清洁公共设施等形式，倡导市民从点滴小事做起，用实际行动助力创建卫生城。本报记者 董永博 摄 ...

								",,2019.03.20,志愿服务
" 新华社记者 兰天鸣 
 
 随着人们消费能力不断提升，手中闲置物品日益增多，二手电商平台发展势头迅猛。但记者调查发现，一些二手电商平台乱象丛生，问题商品充斥，诈骗纷争不断，消费维权困难，亟待规范整治。 
 违规、违禁品公然售卖 
 当前，二... ...

								",,2019.03.20,部分二手电商平台乱象丛生
" 完善技术标准 推动合理布局 
 我国将加快甲醇汽车制造体系建设 
 新华社北京3月19日电（记者 高 亢 张辛欣）近日，工业和信息化部、国家发展和改革委员会等八部门联合印发《关于在部分地区开展甲醇汽车应用的指导意见》，提出将加快完善甲醇汽车... ...

								",,2019.03.20,我国将加快甲醇汽车制造体系建设
" 为普及消防安全知识，增强居民的火灾自防自救能力，3月14日上午，宁安街道宁安路社区邀请新华区消防大队，为辖区居民和物业的工作人员进行了一场消防安全知识培训。培训过后，教官们还走进居民家中，将家庭用电、用气安全常识等宣传资料发放到居民手中。 ... ...

								",,2019.03.20,消防培训进社区
" ——记市一中西山学校学生杨宜龙 
  本报记者 张静雯 
 
 杨宜龙是市一中西山学校的学生，是一名热爱祖国、热爱生活、有理想、有道德的好少年。2016年9月，杨宜龙成为西山学校建校第一期学子，在老师的辛勤培育和自身的不懈努力下，他在思想、... ...

								",,2019.03.20,脚踏实地践行良好品德
" 本报讯 （记者 胡雁冰） 记者从市交管局获悉，我市裕华区、长安区新增33处电子警察，将于一周后开始启用。 
 序号 
 地点 
 富强大街（槐安路至东岗路） 
 青园街（塔南路至石栾路） 
 东风路（青园街至建设大街） 
 塔南路（翟营大街... ...

								",,2019.03.20,裕华区长安区新增33处电子警察
 本报讯 (记者 李彦水 实习生 李义康 )3月19日，,,2019.03.21,共建社会工作专业实践教学（就业）基地
" 本报讯 （记者 张静雯）3月20日，市纪委监委召开扩大会议，传达学习习近平总书记在全国“两会”上的重要讲话精神和全国“两会”精神，研究贯彻落实举措。市委常委、市纪委书记、市监委主任陈玉祥主持会议并讲话。 
 会议指出，全市纪检监察机关要把学... ...

								",,2019.03.21,传达学习贯彻全国“两会”精神
" 本报记者 赵元君 
 
 什么是爱情？对于家住新华区上河原著小区的田保虎夫妻而言，爱情就是当有一天你年华老去，无法行动时，我却仍然相伴左右，不离不弃。自从妻子杨香秀30年前突然患病行动不便后，田保虎便三十年如一日地守候在妻子身边，即使最艰难... ...

								",,2019.03.20,妻子身患帕金森综合征 丈夫不离不弃守护三十年
" 耐力股份生产车间。 
 
 跃迪集团生产车间。 
 
 
 
 河北诚信九天厂区一角。  
 
 
  李永彬 陈乐娟 
 新春伊始，一场轰轰烈烈的效能革命在燕赵大地展开，元氏经开区项目建设也在效能革命的劲风催动下，打响项目落地开工第一战，... ...

								",,2019.03.20,助力龙头企业撑起经济发展脊梁
" 本报讯（首席记者 靳晓磊）根据联合会商结果，按照省通知要求，3月14日15时起，我市解除重污染天气一级强化减排措施，继续维持重污染天气Ⅱ级应急响应。 
 经省环境应急与重污染天气预警中心、中国环境监测总站、省环境气象中心联合会商，预计3月1... ...

								",,2019.03.15,解除重污染天气一级强化减排---维持重污染天气Ⅱ级应急响应
" 本报讯（首席记者 靳晓磊）3月14日，市委常委、副市长张学勤在现场调度卫生城创建暨生活垃圾分类工作时强调，要统一思想、提高认识，突出重点、补齐短板，上下联动、齐抓共管，加速推进我市生活垃圾分类工作。 
 当天下午，张学勤一行先后来到嘉实蓝岸... ...

								",,2019.03.15,上下联动 加速推进生活垃圾分类
" 日前，新华区赵佗路街道社区开展了“创建卫生城 党员做先锋”志愿服务活动，党员志愿者擦洗公共设施、清理积存垃圾，为居民们发放创建卫生城市倡议书，以实际行动为我市创建国家卫生城市助力加油。 
 本报首席记者 张震 摄 ...

								",,2019.03.15,创建卫生城 党员做先锋
" 《诗经》中这样解释桥：“造舟为梁，不显其光”。桥，使人与人的距离拉近了，心与心的距离也近了。 
 有座桥，近在咫尺，却又远在天边，这座桥便是心灵之间的“心桥”。小小一张彩票，正如连接你我的一座桥，拉近了彼此之间的距离，承载着满满的热情与希望... ...

								",,2019.03.15,搭建心灵之桥
" 本报讯（记者 吴 温）“我刚刚拿到我的房屋不动产权证，可以在这里办理电卡过户吗？”“当然可以，您请坐……”近日，市不动产登记中心裕华大厅电力服务窗口前，公司营业员热情、熟练地指导客户李女士填写相关信息、采集资料，完成了首个过户业务受理。这也... ...

								",,2019.03.15,让客户满意度持续提升---市供电公司首个政企合作服务窗口获好评
" （上接第一版）七要坚持底线思维，增强忧患意识，着力防范化解重大风险，切实做好信访维稳工作，深化扫黑除恶专项斗争和“一案三查”，不断提升退役军人服务管理水平，确保社会大局和谐稳定。八要坚定不移落实好新时代党的建设总要求，全面推进党的政治建设、... ...

								",,2019.03.15,深入贯彻习近平总书记重要讲话和全国“两会” 精神 确保党中央决策部署在河北落地落实
" 本报讯（记者 王丽强）3月14日，市政协副主席、市创卫指挥部副总指挥、公共卫生工作部部长闫纯锴，带领市政协以及市创卫办、市卫健委、市教育局有关负责同志，就进一步推进全国卫生城市创建工作开展督导检查。 
 督导组一行先后来到市疾控中心、四十二... ...

								",,2019.03.15,我市开展创卫工作督导检查
" （上接第一版）要对标工作标准，狠抓改革进度；要建强专业队伍，狠抓人员培训；要全面对标对表，狠抓关键环节；要突出试点任务，狠抓模式创新。 
 会议指出，推进农村集体产权制度改革是一个系统工程，涉及产权界定、股权设置、利益调整等多项工作。各地各... ...

								",,2019.03.15,提高思想认识 加快改革进度
" 本报讯（记者 王静）记者从3月14日召开的全市民政工作会议上了解到，根据日前市政府办公室印发的《关于提高城乡居民最低生活保障标准的通知》精神，我市对全市城乡居民最低生活保障标准进行了调整，将于3月底前全部调整到位。 
 据了解，调整后，全市... ...

								",,2019.03.15,城乡居民最低生活保障标准月底前调整到位
" 奋斗，是解码中国奇迹的钥匙，也是通往伟大梦想的阶梯。 
 奋斗的征程，只有进行时没有完成时。 
 备受瞩目的全国两会即将落下帷幕，参加两会的代表委员纷纷表示，不忘初心、奋斗前行，努力干出无愧于人民的新业绩，干出中国发展的新辉煌。 
 亿万人... ...

								",,2019.03.15,凝聚不懈奋斗的磅礴力量---——从全国两会看奋进中国的奋斗姿态
" 新华社北京3月14日电 “推动构建新型国际关系，推动构建人类命运共同体。”“坚决维护国家主权、安全、发展利益。”……连日来，出席全国两会的军队代表委员表示，进入新时代，中国军队以更加开放、自信和透明的姿态，履行国际义务，体现大国担当。 
 ... ...

								",,2019.03.15,以更加开放更加自信的姿态 走向世界---——军队代表委员谈新时代军事外交新气象新作为
" 3月6日，王欣会在内蒙古代表团全体会议前与其他代表交流。 
 全国人大代表王欣会是内蒙古赤峰市星之路自闭症儿童康复中心校长，多年来致力于为自闭症儿童提供康复服务，努力帮助他们和同龄人一样，进入普通幼儿园或小学就读。王欣会呼吁社会各界给予自闭... ...

								",,2019.03.15,让自闭症儿童融入社会生活
 ...贺岁，感恩相伴；百年老院，服务百姓！吉祥如意满天飘，喜乐年华健康笑！值此辞旧迎新之际，,,2019.01.31,市第一医院春节期间百名专家为您健康护航
" 城管部门加强综合执法力度 
 24小时值守保障节日市容 
 本报讯（首席记者 靳晓磊）春节期间，市城市管理综合行政执法局执法人员将严格落实24小时值班值守和领导带班制度，全城管系统万余人坚守岗位，全力做好节日保障工作。市民如遇到城市管理方面... ...

								",,2019.02.03,24小时值守保障节日市容
" 家是最小国，国是千万家。在中国人的精神谱系里，国家与家庭、社会与个人，都是密不可分的整体。 
 “没有国家繁荣发展，就没有家庭幸福美满。同样，没有千千万万家庭幸福美满，就没有国家繁荣发展。”在2019年春节团拜会上，习近平总书记号召在全社会... ...

								",,2019.02.05,在全社会大力弘扬家国情怀---人民
" 春节期间，鹿泉区十方院里浓浓的花香四溢，百年腊梅正开得娇艳，吸引了众多游人在这里拍照留念，为新春的到来增添了幸福祥和。 
 本报记者 张晓峰 摄 ...

								",,2019.02.13,百年腊梅喜迎春
" 春节期间舞狮子表演。 
 
 鹿泉西门戏台戏曲表演。  
 
 本报讯 （陈岩）春节即将来临，作为“第四届河北省文旅大会”承办地之一，为营造喜庆、热烈、祥和的节日气氛，鹿泉区在春节期间将举办一系列丰富多彩的文体活动。 
 今年的春节文体活动... ...

								",,2019.01.31,来鹿泉过大年 感受燕赵民俗
 ,,2019.01.31,凝心聚力携手奋进新时代 砥砺前行转型发展续辉煌---鹿泉区积极推动各项工作开创新局面
" 本报讯 （陈岩）“春节要到了，小镇里举办了好多活动，人比平时多了好多，今天这才几个小时，收入就赶上以前一天了。”近日，在鹿泉区土门关驿道小镇经营手擀粉店铺的胡二虎说起这两天的收入，乐得合不拢嘴。土门关驿道小镇是结合当地古驿道文化打造的一座特... ...

								",,2019.01.31,文化产业成为“新引擎”---鹿泉区挖掘传统文化“卖点”带动经济发展
" 桥西区妇联和新联合投资控股有限公司妇联的代表看望两位老人。 
 
 一家人聚在一起就是幸福，这个四世同堂的家庭令人羡慕。  
 
 本报记者 李莉雅  
 通讯员 史艳 刘金培/文 
 本报记者 张晓峰/图 
 “家”是什么？每个人有不同的... ...

								",,2019.01.31,亲人团聚最珍贵
" 本报讯（记者 戴丽丽）1月4日，我市召开统战系统座谈会，深入学习贯彻市委十届六次全会精神。 
 会上，传达了全会精神，我市各民主党派代表作了交流发言。大家表示，中共市委十届六次全会是在省会发展的关键时期召开的一次重要会议。当前，要把学习贯彻... ...

								",,2019.01.05,把落实全会精神贯穿于履职全过程
" 本报记者 吴 温  
 
 产业是立市之本、强市之基。2017年12月27日召开的市委十届四次全会提出，要构建“4+4”现代产业发展格局，推动省会实现高质量发展。一年来，全市上下积极投身到“4+4”现代产业发展中，狠抓项目建设和招商引资，高... ...

								",,2019.01.03,“五个强化” 加快“4+4”现代产业发展---——市委十届六次全会精神解读（上）
" 2018年12月18日，经云南福彩官方确认，福彩双色球第2018122期2095万巨奖最终被弃，该弃奖也成为中国彩票历史上奖金第2高的弃奖事件。 
 除去对于弃奖事件本身的关注外，弃奖奖金的去向一直是人们热议的话题。根据《彩票管理条例》，彩... ...

								",,2019.01.07,彩票弃奖奖金去向
" （上接第一版） 
 全会强调，要准确把握今年工作总体要求和目标任务，从习近平新时代中国特色社会主义思想中，汲取开拓奋进的精神力量，寻求攻坚突破的智慧勇气，着力增强党的全面领导力、经济发展竞争力、生产要素吸引力、干部队伍执行力，推动全市经济社... ...

								",,2019.01.03,中国共产党
" 同志们，同胞们，朋友们： 
 今天，我们在这里隆重集会，纪念全国人民代表大会常务委员会《告台湾同胞书》发表40周年。值此新年之际，我代表祖国大陆人民，向广大台湾同胞致以诚挚的问候和衷心的祝福！ 
 海峡两岸分隔已届70年。台湾问题的产生和演... ...

								",,2019.01.03,为实现民族伟大复兴 推进祖国和平统一而共同奋斗---——在《告台湾同胞书》发表40周年纪念会上的讲话 （2019年1月2日） 习近平
" 新华社北京1月2日电 （记者 陈键兴 查文晔）《告台湾同胞书》发表40周年纪念会2日上午在人民大会堂隆重举行。中共中央总书记、国家主席、中央军委主席习近平出席纪念会并发表重要讲话，代表祖国大陆人民，向广大台湾同胞致以诚挚的问候和衷心的祝福。... ...

								",,2019.01.03,《告台湾同胞书》发表40周年纪念会在京隆重举行---习近平出席纪念会并发表重要讲话
" 新华社北京12月31日电 新改版的《求是》杂志2019年第1期将发表中共中央总书记、国家主席、中央军委主席习近平的重要文章《辩证唯物主义是中国共产党人的世界观和方法论》。 
 文章指出，辩证唯物主义是中国共产党人的世界观和方法论，我们党要团... ...

								",,2019.01.01,《求是》杂志发表习近平总书记重要文章《辩证唯物主义是中国共产党人的世界观和方法论》
